mint,fired_conditional,origin_program,origin_name,venue_program,venue_name,venue_kind,pool_venue_program,curated_dex_has_rows,signers_holdout,tx_holdout,moves_before_holdout
5yHJMYPDM9UNkeYbvKRMT5wsRzV9iHZsjZKPHyXPDWLv,true,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,token-2022,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pumpswap,AMM,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,false,136,7199,0
3q5LnUBmt8Gu1z74T4Nm8KLmYTPohbNZtkrriqeYpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,,UNKNOWN,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,false,109,254,0
9gSqome74UfuKZAatE3JKTUbxjXX8YYuhdrVSyoZpvdp,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,4,8,0
9Yoo6CkZHpEaVi4d6aTvC1mzJ1WBBsSwoDSB7sd2pump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,3,6,0
CUHJPuhGRz1HxgAXFny6X7HoDBqDsS1drVtHDnF9ob9G,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,7,15,0
5rojCeYV1GAycsivNt7H2t7tdMnyy7zVWp8pafQrpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,proVF4pMXVaYqmy4NjniPh4pqKNfMmsihgd4wdkCX3u,,UNKNOWN,proVF4pMXVaYqmy4NjniPh4pqKNfMmsihgd4wdkCX3u,false,4,18,0
2mzpPeyJAu5WmxJZ2kXuKGRybADRTskuC4bM4C2opump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,22,57,0
HiKU6MWMNZ4xGz4TXqLVx3d8tYUuXatyqq4mrM7yNYDu,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,6,12,0
7zFhyw3rZSQ7Jrk4UTnerv1npxJW669CLGw21f58pump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,12,40,0
7dk8ugXkf3K3CFekCt42hJYXc2n1DUrj9umT7YQbpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,TroYL71c8P2XNtDxHs98VtVLuiASJ7Ao5FvUoKyp3Bk,,UNKNOWN,TroYL71c8P2XNtDxHs98VtVLuiASJ7Ao5FvUoKyp3Bk,false,2,4,0
6GcFTakABAygNPaRqtmyfgEAFbu24bnkDc7PKEQhPhAf,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb,,UNKNOWN,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb,false,140,329,0
GBQxP5pAq2eRs8PpNmPWuu9juy8cU5uw68pPmL34pump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,,UNKNOWN,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,false,63,148,0
BYtQYi5Z4nVt4eCrpuJ3DF3BW2PwYGG8njzbW4qmpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,21,163,0
D9QiBr4mAPnAVYt8AdMEsZDvMPyjyqzpwj26R2f4uBMb,true,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,token-2022,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pumpswap,AMM,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,false,451,15864,0
Hmsf6DN2vBRmXnRSiYatX9Fq8SJNKaNYPzFnbPXwmoon,true,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,meteora dbc,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,meteora dbc,LAUNCHPAD,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,true,261,483,0
bUzZeM6H2TV59SbbXzHjduBt5VKK1cCKxFmv283pump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,170,296,0
4xB7NGVV3Bd22rdBkM3778Ke4RR8bQFcvWbhhWFs93ve,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,1,2,0
Cfy6y827gUXPRNoAxgCNXrkjBpiLUq3U5C7vFLJJpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,,UNKNOWN,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,false,17,34,0
FvNwsrkLq45dPncp1cY4DH5YLssSg7p9rjLru7rDpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,8,16,0
FuTm14rfirJZ9oBjecDhvoyiwwBM9U7iKwUhHku9MxxX,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,,UNKNOWN,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,false,810,2993,0
BG9riDV4Lh14auK8fkpUgUHb3UMbqycpRZWyCWHBpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,J7pourVwqP1VtRNBiFNqbdGxwkx7ta2LHAURURRRJqmd,,UNKNOWN,J7pourVwqP1VtRNBiFNqbdGxwkx7ta2LHAURURRRJqmd,false,1,3,0
98oJ45Sk6KhrvDHbFsvonv5YPWrZxRXrL6TrxgKVpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,27,42,0
