trigger,venue_program,venue_name,kind,n,n_mints,n_days,as_reported_n,as_reported_mean,as_reported_lower,as_reported_upper,carry_forward_n,carry_forward_mean,carry_forward_lower,carry_forward_upper,residual_at_zero_mean,residual_lower,residual_upper,censored_fraction,cost_floor,cost_floor_pct,cost_floor_note,median_trades_per_mint,median_traders_per_mint,same_trade_fraction
T7,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pumpswap,AMM,473,473,3,46,2.5973638787846793,1.3354009559423465,2.7175508238172807,56,2.7462064996283537,0.9273192064095906,3.04935438183148,-0.6501506587228431,-1,-0.6451428759083502,0.9027484143763214,PUMPSWAP_TIER_SCHEDULE,2.6693,PumpSwap schedule at 0.01 SOL  modal tier 0,3766,1247,0.03171247357293869
T7,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,meteora dbc,LAUNCHPAD,109,109,3,1,0.010160956871111404,0.010160956871111404,0.010160956871111404,2,0.44222420536532536,0.010160956871111404,0.8742874538595393,-0.990732468285586,-1,-0.9903794194583703,0.9908256880733946,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,1440,233,0.009174311926605505
T7,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,meteora cpamm,AMM,159,159,3,3,1.1993375955030003,1.1993375955030003,1.1993375955030003,3,1.1993375955030003,1.1993375955030003,1.1993375955030003,-0.9585030642357925,-1,-0.953860050443993,0.9811320754716981,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,1772,236,0
T7,MAyhSmzXzV1pTf7LsNkrNwkWKTo4ougAJ1PPg47MD4e,,UNKNOWN,2,2,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,340,33,0
T7,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,jupiter aggregator v6,ROUTER,9,9,2,1,1.5908676234457446,1.5908676234457446,1.5908676234457446,2,0.9663608622027408,0.9663608622027408,0.9663608622027408,-0.7121258196171395,-1,-0.676141547069282,0.8888888888888888,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,216,147,0
T7,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,,UNKNOWN,3,3,2,2,0.45352118318581436,-0.018777218033385168,0.9258195844050139,2,0.45352118318581436,-0.018777218033385168,0.9258195844050139,-0.030985877876123762,-0.5093886090166926,0.9258195844050139,0.3333333333333333,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,238,134,0
T7,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb,,UNKNOWN,1,1,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,70,41,0
T7,Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB,meteora amm,AMM,5,5,2,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,224,9,0
T7,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,token-2022,TOKEN,5,5,2,1,0.06253528884225612,0.06253528884225612,0.06253528884225612,1,0.06253528884225612,0.06253528884225612,0.06253528884225612,-0.7874929422315488,-1,-0.7343661777894359,0.8,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,116,222,0.2
T7,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,spl token,TOKEN,7,7,1,4,-0.0030009702198955657,-0.0030009702198955657,-0.0030009702198955657,4,-0.0030009702198955657,-0.0030009702198955657,-0.0030009702198955657,-0.43028626869708314,-0.43028626869708314,-0.43028626869708314,0.42857142857142855,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,6,17,0
T7,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,orca whirlpool,AMM,9,9,1,6,-0.0030053743440948875,-0.0030053743440948875,-0.0030053743440948875,6,-0.0030053743440948875,-0.0030053743440948875,-0.0030053743440948875,-0.33533691622939654,-0.33533691622939654,-0.33533691622939654,0.3333333333333333,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,31,12,0.1111111111111111
T7,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,raydium cpmm,AMM,9,9,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,23,17,0.1111111111111111
T7,LanMV9sAd7wArD4vJFi2qDdfnVhFxYSUg6eADduJ3uj,raydium launchlab,LAUNCHPAD,1,1,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,1693,518,0
T7,7bopoA2tnvDYEfp54FhgNDiLR9wSPcEs9J7FaUGURsXj,,UNKNOWN,1,1,1,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,424,190,0
T7,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,,UNKNOWN,4,4,1,1,-0.7308734002119837,-0.7308734002119837,-0.7308734002119837,1,-0.7308734002119837,-0.7308734002119837,-0.7308734002119837,-0.9327183500529959,-0.9327183500529959,-0.9327183500529959,0.75,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,35.5,30.5,0
